t_s,phase,temp_c,arm_hz,core_v,throttled,load1,batt_pct,batt_uv
0,cooldown,53.5,1700017792,0.8520,0x0,2.46,82,3820000
5,cooldown,52.9,2400030464,0.8520,0x0,2.27,82,3809000
10,cooldown,52.9,1500016128,0.8520,0x0,2.08,82,3829000
15,cooldown,51.8,1500022656,0.7500,0x0,1.92,82,3825000
20,cooldown,51.8,1500019456,0.7500,0x0,1.76,82,3828000
25,cooldown,51.2,1500019456,0.7500,0x0,1.62,82,3828000
30,cooldown,50.7,1500012800,0.7500,0x0,1.49,82,3828000
35,cooldown,50.7,1500016128,0.7500,0x0,1.37,82,3825000
40,cooldown,50.1,1500012800,0.7500,0x0,1.26,82,3821000
45,cooldown,50.1,1500016128,0.7500,0x0,1.16,82,3828000
50,cooldown,50.7,1500019456,0.7500,0x0,1.07,82,3828000
55,cooldown,50.1,1500022656,0.7500,0x0,0.98,81,3825000
60,cooldown,50.1,1600023552,0.7500,0x0,0.90,81,3828000
65,cooldown,49.6,1500019456,0.7500,0x0,0.83,81,3825000
70,cooldown,49.6,1600017024,0.8520,0x0,0.76,81,3828000
75,cooldown,48.5,1500019456,0.7500,0x0,0.70,81,3828000
80,cooldown,49.6,1500016128,0.8520,0x0,0.64,81,3828000
85,cooldown,48.5,1500019456,0.7500,0x0,0.59,81,3822000
90,cooldown,49.6,1500012800,0.7500,0x0,0.55,81,3826000
95,cooldown,48.5,1500012800,0.8520,0x0,0.50,81,3825000
100,cooldown,49.0,1500019456,0.7500,0x0,0.46,81,3828000
105,cooldown,49.0,1500016128,0.7500,0x0,0.42,81,3825000
110,cooldown,49.0,1500016128,0.8520,0x0,0.39,81,3825000
115,cooldown,48.5,1500019456,0.7500,0x0,0.36,81,3826000
120,cooldown,48.0,1500019456,0.7500,0x0,0.33,81,3824000
125,cooldown,48.0,1500012800,0.7500,0x0,0.30,81,3824000
130,cooldown,48.5,1500016128,0.7500,0x0,0.28,81,3823000
135,cooldown,48.0,1500019456,0.7500,0x0,0.26,81,3818000
140,cooldown,48.0,1500016128,0.7500,0x0,0.24,81,3818000
145,cooldown,48.0,1500016128,0.7500,0x0,0.22,81,3821000
150,cooldown,46.9,1500012800,0.7500,0x0,0.20,81,3817000
156,cooldown,48.0,1500019456,0.7500,0x0,0.18,81,3822000
161,cooldown,47.4,1500019456,0.7500,0x0,0.25,81,3818000
166,cooldown,46.9,1500019456,0.7500,0x0,0.21,81,3823000
171,cooldown,48.0,1500016128,0.7500,0x0,0.19,81,3822000
176,cooldown,48.0,1500016128,0.7500,0x0,0.18,81,3815000
181,cooldown,48.0,2400027136,0.8520,0x0,0.16,81,3813000
186,cooldown,47.4,1500022656,0.7500,0x0,0.15,81,3812000
191,cooldown,47.4,1500016128,0.7500,0x0,0.14,81,3821000
196,cooldown,48.0,1500016128,0.8520,0x0,0.13,81,3820000
201,cooldown,46.9,1500022656,0.7500,0x0,0.12,81,3814000
206,cooldown,48.0,1500016128,0.7500,0x0,0.11,81,3815000
211,cooldown,47.4,1500012800,0.7500,0x0,0.10,80,3820000
216,cooldown,47.4,1500012800,0.7500,0x0,0.09,80,3818000
221,cooldown,46.9,1500012800,0.7500,0x0,0.08,80,3818000
226,cooldown,47.4,1500019456,0.7500,0x0,0.08,80,3819000
231,cooldown,46.9,1500016128,0.7500,0x0,0.07,80,3818000
236,cooldown,46.9,1600017024,0.8520,0x0,0.06,80,3819000
241,cooldown,47.4,1500016128,0.7500,0x0,0.06,80,3818000
246,cooldown,46.9,1500016128,0.8520,0x0,0.05,80,3818000
251,cooldown,46.9,1500016128,0.7500,0x0,0.05,80,3818000
256,cooldown,46.3,1500016128,0.7500,0x0,0.04,80,3818000
261,cooldown,46.9,1500012800,0.7500,0x0,0.04,80,3817000
266,cooldown,46.3,1500009472,0.7500,0x0,0.12,80,3810000
271,cooldown,45.8,1500019456,0.7500,0x0,0.11,80,3817000
276,cooldown,46.9,1500022656,0.7500,0x0,0.10,80,3815000
281,cooldown,46.9,1500016128,0.8520,0x0,0.17,80,3814000
286,cooldown,46.3,1500022656,0.7500,0x0,0.16,80,3817000
291,cooldown,46.3,1500019456,0.7500,0x0,0.14,80,3811000
296,cooldown,46.3,1500019456,0.8520,0x0,0.13,80,3815000
301,cooldown,46.9,1500022656,0.7500,0x0,0.12,80,3813000
306,cooldown,46.3,1500016128,0.7500,0x0,0.11,80,3814000
311,cooldown,46.3,1500016128,0.7500,0x0,0.10,80,3814000
317,cooldown,46.3,1500019456,0.7500,0x0,0.09,80,3812000
322,cooldown,46.3,1500016128,0.7500,0x0,0.09,80,3812000
327,cooldown,45.8,1500019456,0.7500,0x0,0.08,80,3813000
332,cooldown,46.9,1500019456,0.7500,0x0,0.07,80,3810000
337,cooldown,45.8,1500012800,0.7500,0x0,0.07,80,3811000
342,cooldown,46.9,1500022656,0.7500,0x0,0.06,80,3811000
347,cooldown,46.3,1500016128,0.7500,0x0,0.06,80,3809000
352,cooldown,45.8,1500016128,0.7500,0x0,0.05,80,3811000
357,cooldown,45.8,1500022656,0.7500,0x0,0.05,80,3811000
362,cooldown,45.8,2400033792,0.8520,0x0,0.04,80,3797000
367,cooldown,46.3,1500012800,0.7500,0x0,0.04,79,3808000
372,cooldown,45.2,1500019456,0.7500,0x0,0.04,79,3810000
377,cooldown,46.3,1500016128,0.7500,0x0,0.11,79,3809000
382,cooldown,46.3,1500016128,0.8520,0x0,0.10,79,3809000
387,cooldown,45.2,1500019456,0.7500,0x0,0.10,79,3806000
392,cooldown,46.3,1500022656,0.8520,0x0,0.17,79,3807000
397,cooldown,45.8,1500022656,0.8520,0x0,0.15,79,3807000
402,cooldown,46.3,1500019456,0.8520,0x0,0.14,79,3808000
407,cooldown,45.8,1500019456,0.7500,0x0,0.21,79,3804000
412,cooldown,45.2,1600020224,0.7500,0x0,0.19,79,3807000
