t_s,phase,temp_c,arm_hz,core_v,throttled,load1,batt_pct,batt_uv
0,idle,39.7,1700014464,0.7558,0x0,0.22,99,4042000
5,idle,39.1,2400027136,0.8520,0x0,0.20,99,4027000
10,idle,39.7,1500016128,0.7500,0x0,0.34,99,4039000
15,idle,39.1,1500022656,0.7500,0x0,0.32,99,4033000
20,idle,39.7,1500019456,0.7500,0x0,0.29,99,4040000
25,idle,39.7,1500016128,0.7500,0x0,0.27,99,4038000
30,idle,39.7,1500019456,0.7500,0x0,0.25,99,4035000
35,idle,39.7,1500022656,0.7500,0x0,0.22,99,4030000
40,idle,39.1,1500012800,0.7500,0x0,0.21,99,4035000
45,idle,38.6,1500012800,0.7500,0x0,0.19,99,4034000
50,idle,38.6,1500016128,0.7500,0x0,0.17,99,4034000
55,idle,39.7,1500016128,0.7500,0x0,0.16,99,4033000
60,idle,39.7,1500012800,0.7500,0x0,0.15,99,4026000
66,idle,39.7,1500019456,0.7500,0x0,0.14,99,4027000
71,idle,39.1,1500012800,0.7500,0x0,0.12,99,4026000
76,idle,39.1,1500019456,0.8520,0x0,0.11,99,4032000
81,idle,38.6,1500016128,0.7500,0x0,0.10,99,4030000
86,idle,39.1,1500012800,0.7500,0x0,0.10,99,4027000
91,idle,39.1,1500022656,0.8520,0x0,0.09,99,4027000
96,idle,39.1,1500016128,0.7500,0x0,0.08,99,4029000
101,idle,39.7,1500016128,0.7500,0x0,0.07,99,4026000
106,idle,39.1,1500019456,0.7500,0x0,0.07,99,4028000
111,idle,39.7,1500019456,0.7500,0x0,0.06,99,4020000
116,idle,39.1,1500022656,0.7500,0x0,0.06,99,4022000
121,idle,39.7,2400020480,0.8520,0x0,0.05,99,4019000
126,idle,39.7,1500016128,0.7500,0x0,0.05,99,4004000
131,idle,39.1,1500012800,0.7500,0x0,0.04,99,4016000
136,idle,38.6,1500016128,0.7500,0x0,0.04,99,4017000
141,idle,39.7,1500022656,0.7500,0x0,0.04,99,4017000
146,idle,39.7,1500016128,0.7500,0x0,0.03,99,4022000
151,idle,38.6,1500012800,0.7500,0x0,0.03,99,4020000
156,idle,39.1,1500016128,0.7500,0x0,0.03,99,4018000
161,idle,39.1,1500016128,0.8520,0x0,0.02,99,4018000
166,idle,39.1,1500022656,0.7500,0x0,0.02,99,4020000
171,idle,39.7,1500019456,0.7500,0x0,0.02,99,4019000
176,idle,39.7,1500022656,0.8520,0x0,0.02,99,4018000
181,idle,39.7,1500016128,0.7500,0x0,0.02,99,4016000
186,idle,38.6,1500012800,0.7500,0x0,0.02,99,4009000
191,idle,39.7,1600010368,0.8520,0x0,0.01,99,4008000
196,idle,39.7,1500019456,0.7500,0x0,0.01,99,4016000
201,idle,39.1,1500022656,0.7500,0x0,0.01,99,4016000
207,idle,39.1,1500016128,0.7500,0x0,0.01,99,4013000
212,idle,39.7,1500019456,0.7500,0x0,0.01,99,4013000
217,idle,39.7,1500016128,0.7500,0x0,0.01,99,4008000
222,idle,40.2,1500016128,0.7500,0x0,0.01,99,4013000
227,idle,39.1,1500016128,0.7500,0x0,0.01,99,4012000
232,idle,39.7,1500019456,0.7500,0x0,0.01,99,4012000
237,idle,39.1,1500016128,0.7500,0x0,0.00,99,4012000
242,idle,39.7,2400030464,0.8520,0x0,0.00,99,3998000
247,idle,39.7,1500012800,0.8520,0x0,0.00,99,3995000
252,idle,39.1,1500016128,0.7500,0x0,0.08,99,4000000
257,idle,39.7,1500012800,0.7500,0x0,0.07,99,4008000
262,idle,39.7,1500019456,0.8520,0x0,0.06,99,3999000
267,idle,39.1,1500022656,0.7500,0x0,0.06,99,4004000
272,idle,39.1,1500016128,0.7500,0x0,0.05,99,4007000
277,idle,39.1,1500012800,0.8520,0x0,0.05,99,4004000
282,idle,39.7,1500012800,0.7500,0x0,0.05,99,4007000
287,idle,39.7,1500019456,0.7500,0x0,0.04,99,4005000
292,idle,39.7,1500016128,0.7500,0x0,0.04,99,4006000
297,idle,39.7,1500019456,0.7500,0x0,0.04,99,4006000
302,idle,39.1,1500022656,0.7500,0x0,0.03,99,4004000
307,idle,39.7,1500019456,0.7500,0x0,0.03,99,3998000
312,idle,39.1,1500012800,0.7500,0x0,0.03,99,3995000
317,idle,39.7,1500012800,0.7500,0x0,0.02,99,4002000
322,idle,39.1,1500016128,0.7500,0x0,0.02,99,4002000
327,idle,39.1,1500019456,0.7500,0x0,0.02,99,4001000
332,idle,39.7,1500022656,0.7500,0x0,0.02,99,4001000
337,idle,39.7,1500012800,0.7500,0x0,0.02,99,3994000
342,idle,39.7,1500016128,0.7500,0x0,0.02,99,4000000
347,idle,40.2,1500012800,0.8520,0x0,0.01,99,4000000
352,idle,39.1,1500012800,0.7500,0x0,0.01,99,3998000
357,idle,39.7,1500022656,0.7500,0x0,0.01,99,3999000
362,idle,40.2,2400027136,0.8520,0x0,0.01,99,3988000
367,idle,39.7,1500019456,0.7500,0x0,0.01,99,3994000
372,idle,39.7,1500012800,0.7500,0x0,0.01,99,3993000
377,idle,40.2,1500016128,0.8520,0x0,0.01,99,3998000
382,idle,40.2,1500016128,0.7500,0x0,0.01,99,3997000
388,idle,39.7,1500019456,0.7500,0x0,0.01,99,3996000
393,idle,38.6,1500016128,0.7500,0x0,0.00,99,3997000
398,idle,39.7,1500012800,0.7500,0x0,0.00,99,3989000
403,idle,39.7,1500012800,0.7500,0x0,0.00,99,3996000
408,idle,39.7,1500009472,0.7500,0x0,0.00,99,3996000
413,idle,39.7,1500022656,0.7500,0x0,0.00,99,3995000
418,idle,39.1,1500009472,0.7500,0x0,0.00,99,3995000
423,idle,39.7,1500019456,0.7500,0x0,0.00,99,3994000
428,idle,39.7,1500019456,0.7500,0x0,0.08,99,3993000
433,idle,39.7,1500022656,0.7500,0x0,0.08,99,3993000
438,idle,39.7,1500012800,0.7500,0x0,0.07,99,3995000
443,idle,39.7,1500016128,0.7500,0x0,0.14,99,3993000
448,idle,39.7,1500012800,0.8520,0x0,0.13,99,3993000
453,idle,39.7,1500019456,0.7500,0x0,0.12,99,3993000
458,idle,39.7,1500019456,0.7500,0x0,0.11,99,3991000
463,idle,40.8,1500022656,0.8520,0x0,0.10,99,3988000
468,idle,40.2,1500016128,0.7500,0x0,0.09,99,3991000
473,idle,39.1,1500016128,0.7500,0x0,0.09,99,3990000
478,idle,39.1,1500022656,0.7500,0x0,0.08,99,3993000
483,idle,39.7,2400033792,0.8520,0x0,0.07,99,3980000
488,idle,39.7,1500022656,0.7500,0x0,0.07,99,3991000
493,idle,40.2,1500022656,0.7500,0x0,0.06,99,3989000
498,idle,39.1,1500019456,0.7500,0x0,0.06,99,3990000
503,idle,40.2,1500016128,0.7500,0x0,0.05,99,3989000
508,idle,39.1,1500019456,0.7500,0x0,0.05,99,3990000
513,idle,39.7,1500012800,0.7500,0x0,0.04,99,3989000
518,idle,40.2,1500019456,0.7500,0x0,0.04,99,3984000
523,idle,40.2,1500012800,0.7500,0x0,0.04,99,3989000
528,idle,40.2,1500019456,0.7500,0x0,0.03,99,3988000
533,idle,40.2,1500016128,0.7500,0x0,0.03,99,3988000
538,idle,40.2,1500019456,0.7500,0x0,0.03,99,3989000
543,idle,39.1,1500019456,0.7500,0x0,0.02,99,3987000
548,idle,40.2,1500019456,0.8520,0x0,0.02,99,3988000
553,idle,39.7,1500012800,0.7500,0x0,0.02,99,3988000
558,idle,40.2,1500016128,0.7500,0x0,0.02,99,3987000
563,idle,39.7,1500019456,0.8520,0x0,0.02,99,3986000
569,idle,39.1,1500022656,0.7500,0x0,0.02,99,3987000
574,idle,40.2,1500019456,0.7500,0x0,0.01,99,3987000
579,idle,40.2,1600020224,0.7500,0x0,0.01,99,3987000
584,idle,39.7,1500019456,0.7500,0x0,0.01,99,3986000
589,idle,39.7,1500016128,0.7500,0x0,0.01,99,3986000
594,idle,40.8,1500012800,0.7500,0x0,0.01,99,3986000
599,idle,39.7,1500022656,0.7500,0x0,0.01,99,3985000
