t_s,phase,temp_c,arm_hz,core_v,throttled,load1,batt_pct,batt_uv
0,stress,40.8,1700021120,0.8520,0x0,0.00,99,3976000
5,stress,46.3,2400037120,0.8520,0x0,0.32,99,3909000
10,stress,46.9,2400020480,0.8520,0x0,0.62,99,3906000
16,stress,48.0,2400023808,0.8520,0x0,0.89,99,3900000
21,stress,48.0,2400033792,0.8520,0x0,1.14,99,3897000
26,stress,48.5,2400020480,0.8520,0x0,1.37,99,3902000
31,stress,48.5,2400020480,0.8520,0x0,1.58,99,3901000
36,stress,49.6,2400027136,0.8520,0x0,1.77,99,3900000
41,stress,49.0,2400027136,0.8520,0x0,1.95,99,3899000
46,stress,50.1,2400023808,0.8520,0x0,2.12,99,3898000
51,stress,50.1,2400030464,0.8520,0x0,2.27,99,3897000
56,stress,50.7,2400023808,0.8520,0x0,2.41,99,3898000
61,stress,51.2,2400027136,0.8520,0x0,2.53,99,3897000
66,stress,51.2,2400033792,0.8520,0x0,2.65,99,3897000
71,stress,51.2,2400030464,0.8520,0x0,2.76,99,3896000
77,stress,51.8,2400023808,0.8520,0x0,2.86,99,3895000
82,stress,52.4,2400033792,0.8520,0x0,2.95,99,3895000
87,stress,52.4,2400027136,0.8520,0x0,3.04,99,3891000
92,stress,52.9,2400027136,0.8520,0x0,3.11,99,3894000
97,stress,52.4,2400037120,0.8520,0x0,3.18,99,3894000
102,stress,52.4,2400020480,0.8520,0x0,3.25,99,3892000
107,stress,51.2,2400037120,0.8520,0x0,3.31,99,3891000
112,stress,52.4,2400033792,0.8520,0x0,3.37,99,3891000
117,stress,52.4,2400033792,0.8520,0x0,3.42,99,3887000
122,stress,52.9,2400023808,0.8520,0x0,3.46,99,3890000
127,stress,52.9,2400023808,0.8520,0x0,3.51,99,3887000
133,stress,53.5,2400033792,0.8520,0x0,3.55,99,3884000
138,stress,53.5,2400030464,0.8520,0x0,3.58,99,3885000
143,stress,51.8,2400030464,0.8520,0x0,3.62,99,3883000
148,stress,52.9,2400033792,0.8520,0x0,3.65,99,3886000
153,stress,52.9,2400023808,0.8520,0x0,3.68,99,3889000
158,stress,54.0,2400027136,0.8520,0x0,3.70,99,3889000
163,stress,54.0,2400037120,0.8520,0x0,3.73,99,3888000
168,stress,54.0,2400033792,0.8520,0x0,3.75,99,3886000
173,stress,54.0,2400030464,0.8520,0x0,3.77,99,3887000
178,stress,54.0,2400037120,0.8520,0x0,3.79,99,3887000
183,stress,53.5,2400033792,0.8520,0x0,3.80,99,3887000
