t_s,phase,temp_c,arm_hz,core_v,throttled,load1,batt_pct,batt_uv
0,video,47.4,2400027136,0.8520,0x0,0.72,73,3719000
5,video,48.0,2400020480,0.8520,0x0,0.82,73,3715000
10,video,47.4,1600013696,0.8520,0x0,0.84,73,3720000
15,video,47.4,1600020224,0.8520,0x0,0.77,73,3719000
20,video,47.4,1600023552,0.8520,0x0,0.71,73,3718000
25,video,47.4,2400027136,0.8520,0x0,0.73,73,3711000
30,video,47.4,1600020224,0.8520,0x0,0.75,73,3718000
36,video,47.4,2400030464,0.8520,0x0,0.69,73,3712000
41,video,47.4,1600020224,0.8520,0x0,0.72,73,3714000
46,video,46.9,1600020224,0.8520,0x0,0.66,73,3718000
51,video,47.4,2400030464,0.8520,0x0,0.61,73,3714000
56,video,48.0,2400033792,0.8520,0x0,0.56,73,3714000
61,video,48.0,1600023552,0.8520,0x0,0.51,73,3714000
66,video,47.4,1600023552,0.8520,0x0,0.47,73,3713000
71,video,47.4,2400027136,0.8520,0x0,0.43,73,3716000
76,video,47.4,1600020224,0.8520,0x0,0.40,72,3713000
81,video,47.4,1600020224,0.8520,0x0,0.53,72,3715000
86,video,48.0,1600017024,0.8520,0x0,0.48,72,3714000
91,video,47.4,1600020224,0.8520,0x0,0.61,72,3715000
96,video,48.0,2400030464,0.8520,0x0,0.56,72,3711000
101,video,47.4,1600023552,0.8520,0x0,0.51,72,3713000
106,video,48.0,1600020224,0.8520,0x0,0.47,72,3712000
111,video,48.0,2400037120,0.8520,0x0,0.59,72,3710000
116,video,48.0,2400037120,0.8520,0x0,0.71,72,3711000
121,video,48.0,2400033792,0.8520,0x0,0.65,72,3712000
126,video,47.4,1600013696,0.8520,0x0,0.60,72,3712000
131,video,48.5,1700014464,0.8520,0x0,0.55,72,3715000
136,video,48.5,2400020480,0.8520,0x0,0.59,72,3711000
141,video,47.4,1600013696,0.8520,0x0,0.54,72,3713000
146,video,48.0,1600020224,0.8520,0x0,0.74,72,3709000
151,video,47.4,1600020224,0.8520,0x0,0.68,72,3708000
156,video,48.0,1600010368,0.8520,0x0,0.78,72,3707000
161,video,48.0,1600023552,0.8520,0x0,0.72,72,3707000
166,video,47.4,2400033792,0.8520,0x0,0.66,72,3707000
171,video,47.4,1600017024,0.8520,0x0,0.61,72,3708000
176,video,48.0,2400027136,0.8520,0x0,0.72,72,3708000
181,video,48.0,1600017024,0.8520,0x0,0.90,72,3713000
186,video,47.4,1600020224,0.8520,0x0,0.91,72,3711000
191,video,48.0,1600017024,0.8520,0x0,0.92,72,3713000
196,video,46.9,1600023552,0.8520,0x0,0.92,72,3708000
202,video,48.0,2400037120,0.8520,0x0,0.85,71,3704000
